                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1148,                 6.6524,                 3.7447,                0.00018,                0.00829,                 0.0001,                  1e-05,                 4.9581,                 5.1412,                 3.7689,             0.00054065,             0.00054065,             0.00054065
                      2,                 3.9254,                 6.2666,                  3.733,                0.00018,                0.00276,                  9e-05,                  1e-05,                 4.9322,                 5.1415,                 3.7603,              0.0010855,              0.0010855,              0.0010855
                      3,                 4.2041,                 7.5251,                 3.4298,                0.00018,                0.00276,                  9e-05,                  1e-05,                 4.8627,                 4.4146,                 3.7386,              0.0016193,              0.0016193,              0.0016193
                      4,                 4.1322,                 7.2132,                 3.2932,                0.00018,                0.00276,                  9e-05,                  1e-05,                 4.8627,                 4.4146,                 3.7386,              0.0016175,              0.0016175,              0.0016175
                      5,                 4.1331,                 6.1207,                 3.8703,                 0.0016,                0.01657,                0.00062,                 0.0002,                  4.816,                   1816,                 11.677,               0.001601,               0.001601,               0.001601
                      6,                 4.1993,                 6.6759,                 3.4624,                0.00383,                0.00552,                0.00039,                  5e-05,                 4.8136,                 170.43,                 10.054,              0.0015845,              0.0015845,              0.0015845
                      7,                 3.8198,                 6.1332,                 3.3624,                0.00383,                0.00552,                0.00039,                  5e-05,                 4.8136,                 170.43,                 10.054,               0.001568,               0.001568,               0.001568
                      8,                 3.8753,                 6.4439,                 3.3718,                0.00178,                 0.0221,                0.00099,                0.00027,                 4.6627,                  114.5,                 6.4685,              0.0015515,              0.0015515,              0.0015515
                      9,                  3.526,                 6.2055,                 3.0787,                0.00178,                 0.0221,                0.00099,                0.00027,                 4.6627,                  114.5,                 6.4685,               0.001535,               0.001535,               0.001535
                     10,                 3.9753,                 5.7117,                 3.4033,                0.00309,                0.01381,                0.00091,                0.00036,                 4.7376,                 15.375,                 6.0386,              0.0015185,              0.0015185,              0.0015185
                     11,                 3.9666,                 6.2124,                 3.4021,                0.00309,                0.01381,                0.00091,                0.00036,                 4.7376,                 15.375,                 6.0386,               0.001502,               0.001502,               0.001502
