                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8152,                 3.5947,                  1.319,                0.00363,                0.32004,                0.14317,                0.07806,                  1.434,                 3.5577,                 1.0706,              0.0003375,              0.0003375,              0.0003375
                      2,                 1.4878,                 2.2375,                 1.1123,                0.72449,                0.05662,                0.11639,                0.05873,                 1.5724,                 3.3647,                 1.1689,             0.00068069,             0.00068069,             0.00068069
                      3,                 1.4277,                 1.8945,                 1.0925,                0.71048,                0.06243,                0.31785,                0.17402,                 1.5182,                 2.9479,                 1.1645,               0.001017,               0.001017,               0.001017
                      4,                 1.4312,                 1.6392,                 1.1185,                0.70231,                0.54923,                0.59373,                0.32371,                 1.4488,                 1.9052,                 1.1262,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3706,                 1.4608,                 1.0709,                0.76691,                0.56904,                0.64124,                0.35617,                 1.4496,                  1.644,                 1.2138,              0.0012005,              0.0012005,              0.0012005
                      6,                  1.339,                 1.4062,                 1.0798,                0.80954,                0.61744,                0.66314,                0.35195,                 1.4727,                 1.4113,                 1.1817,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.3179,                 1.2619,                 1.0825,                0.91255,                 0.6321,                0.74742,                0.42606,                 1.3633,                 1.0593,                 1.1162,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.3057,                 1.2172,                 1.0775,                0.81139,                0.66259,                0.68757,                0.38546,                  1.476,                 1.1747,                 1.1265,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2315,                 1.0986,                 1.0293,                 0.7412,                0.56868,                0.68844,                0.40278,                 1.4324,                 1.2503,                 1.1331,               0.001151,               0.001151,               0.001151
                     10,                 1.2443,                 1.0604,                 1.0486,                0.80522,                0.62452,                0.71214,                0.41529,                 1.4041,                 1.0085,                 1.1425,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1948,                 1.0096,                 1.0292,                0.86755,                0.69429,                0.74509,                0.43864,                 1.3372,                0.97255,                  1.089,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1852,                0.94379,                 1.0298,                0.75936,                0.71546,                0.74456,                0.42025,                 1.3688,                0.99763,                 1.1191,              0.0011139,              0.0011139,              0.0011139
                     13,                  1.151,                0.91604,                 1.0151,                0.90273,                0.74706,                0.80437,                0.47274,                 1.2806,                0.83941,                 1.0541,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.1469,                0.86769,                 1.0076,                0.94081,                0.72073,                0.80033,                0.48067,                 1.3398,                0.83404,                 1.0955,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1226,                0.83304,                0.98808,                0.89678,                0.75359,                0.79744,                0.48236,                 1.2967,                0.79467,                  1.074,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1123,                0.81229,                0.98757,                0.90703,                 0.7178,                0.78309,                0.46657,                 1.3683,                0.79421,                 1.1353,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.1425,                0.80906,                 1.0001,                0.86981,                 0.7084,                0.77647,                0.47636,                 1.2965,                 0.8152,                 1.1098,               0.001052,               0.001052,               0.001052
                     18,                 1.1559,                0.83416,                 1.0128,                0.80214,                0.68867,                0.76045,                0.45391,                 1.4053,                0.89664,                 1.1164,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.1118,                0.77264,                0.99791,                0.88957,                0.73665,                0.79736,                0.48252,                 1.3361,                 0.7759,                  1.092,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.1004,                0.75815,                0.98532,                0.88217,                0.73956,                0.81087,                0.48688,                 1.3536,                0.75843,                 1.1066,              0.0010149,              0.0010149,              0.0010149
                     21,                  1.094,                0.77221,                 0.9835,                 0.8848,                0.75327,                0.80759,                0.50099,                 1.2229,                 0.7195,                 1.0588,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0635,                0.72915,                0.97301,                0.84662,                0.75875,                0.80388,                0.49352,                 1.2333,                0.77802,                 1.0658,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.0518,                0.72411,                0.97107,                0.87332,                0.77848,                0.80614,                0.50231,                 1.2478,                0.75348,                  1.075,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.0483,                0.70825,                0.97426,                0.90514,                0.76244,                0.82122,                0.51269,                 1.2933,                0.72201,                 1.0797,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0289,                0.67787,                0.96476,                 0.8888,                0.77362,                0.81924,                0.50826,                 1.2932,                0.72875,                 1.0795,               0.000953,               0.000953,               0.000953
                     26,                 1.0655,                0.68254,                0.96784,                0.89235,                0.77439,                0.81571,                0.50272,                 1.2516,                0.70851,                 1.0538,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0129,                0.64594,                 0.9622,                0.88926,                0.76078,                0.81584,                0.48871,                  1.311,                0.72876,                 1.0753,             0.00092825,             0.00092825,             0.00092825
                     28,                 1.0035,                0.62891,                0.95601,                0.88837,                0.75105,                0.79935,                0.49068,                 1.2532,                0.73179,                 1.0632,             0.00091588,             0.00091588,             0.00091588
                     29,                 1.0239,                0.66267,                0.96572,                0.87284,                0.78271,                0.82209,                0.53039,                 1.2193,                0.70843,                 1.0556,              0.0009035,              0.0009035,              0.0009035
                     30,                 1.0131,                0.63662,                0.94417,                0.92389,                0.77134,                0.82821,                0.52192,                 1.1978,                 0.6763,                 1.0269,             0.00089112,             0.00089112,             0.00089112
                     31,                0.99936,                0.63737,                0.95232,                0.88639,                 0.7742,                0.83235,                0.52141,                 1.2524,                0.68127,                 1.0528,             0.00087875,             0.00087875,             0.00087875
                     32,                 1.0147,                0.63057,                0.94843,                0.89761,                0.77169,                0.82782,                0.52147,                 1.2216,                0.68594,                   1.05,             0.00086637,             0.00086637,             0.00086637
                     33,                0.99265,                0.61696,                 0.9417,                0.89913,                0.76995,                0.82872,                0.53273,                 1.1955,                 0.6765,                 1.0381,               0.000854,               0.000854,               0.000854
                     34,                 1.0066,                0.64244,                0.94062,                0.93246,                0.75299,                0.83061,                0.51907,                 1.1943,                0.66345,                 1.0343,             0.00084162,             0.00084162,             0.00084162
                     35,                0.97919,                0.62775,                0.95652,                0.92414,                0.75995,                 0.8262,                0.52581,                 1.1755,                0.69193,                 1.0475,             0.00082925,             0.00082925,             0.00082925
                     36,                0.97297,                0.61235,                0.95146,                0.86096,                0.79907,                0.82383,                0.53115,                 1.1514,                0.65136,                 1.0314,             0.00081688,             0.00081688,             0.00081688
                     37,                0.93616,                0.60433,                0.92978,                0.89774,                0.76594,                0.82511,                0.51912,                 1.1957,                0.67415,                 1.0442,              0.0008045,              0.0008045,              0.0008045
                     38,                0.96176,                0.60321,                0.94238,                0.93048,                0.73382,                0.83018,                0.53394,                 1.1717,                0.66525,                  1.041,             0.00079213,             0.00079213,             0.00079213
                     39,                0.93609,                0.59606,                0.93972,                0.86432,                 0.8004,                0.82854,                0.53242,                 1.2147,                0.64803,                 1.0604,             0.00077975,             0.00077975,             0.00077975
                     40,                0.92233,                0.57976,                0.93434,                0.90962,                0.76471,                0.82782,                0.53268,                  1.179,                0.64903,                 1.0458,             0.00076738,             0.00076738,             0.00076738
                     41,                0.95741,                 0.5915,                0.93453,                0.86679,                0.73379,                0.80613,                0.50302,                 1.2391,                0.71586,                 1.0717,               0.000755,               0.000755,               0.000755
                     42,                0.92259,                0.57086,                0.93473,                0.92016,                0.72941,                0.82622,                0.52012,                  1.215,                0.69604,                 1.0509,             0.00074263,             0.00074263,             0.00074263
                     43,                0.91454,                0.55919,                0.92727,                0.94687,                 0.7635,                0.84935,                0.54645,                 1.1944,                0.63336,                 1.0431,             0.00073025,             0.00073025,             0.00073025
                     44,                0.91063,                0.54765,                0.91761,                0.92648,                 0.7516,                  0.839,                 0.5318,                 1.2184,                0.64972,                 1.0696,             0.00071788,             0.00071788,             0.00071788
